Date,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Jawa Tengah,Kalimantan Tengah,Sulawesi Tengah,Jawa Timur,Kalimantan Timur,Nusa Tenggara Timur,Gorontalo,Jambi,Lampung,Maluku,Kalimantan Utara,Maluku Utara,Sulawesi Utara,Sumatra Utara,Papua,Riau,Riau Islands,Sulawesi Tenggara,Kalimantan Selatan,Sulawesi Selatan,Sumatra Selatan,DKI Jakarta,DI Yogyakarta,Jawa Barat,Kalimantan Barat,Nusa Tenggara Barat,Papua Barat,Sulawesi Barat,Sumatra Barat
2024-10-01,52,0,0,80,0,0,0,0,77,58,0,0,0,0,0,0,0,0,49,0,36,0,0,56,69,74,84,71,59,0,0,0,0,0
2024-10-02,66,47,0,65,0,0,0,0,77,61,0,0,0,0,0,0,0,0,71,0,52,0,0,66,57,53,76,59,70,0,0,0,56,54
2024-10-03,50,0,0,61,0,0,0,0,85,66,0,0,0,0,0,0,0,0,92,0,42,0,45,60,84,50,67,66,69,50,0,0,0,62
2024-10-04,0,45,0,55,0,0,0,0,58,48,0,0,0,0,0,0,0,0,52,0,53,0,0,0,43,53,78,68,55,0,0,0,0,0
2024-10-05,0,0,100,57,0,0,0,0,76,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,66,37,62,44,58,62,0,0,0,0
2024-10-06,0,0,0,54,0,0,0,0,63,0,0,0,70,0,0,0,0,0,47,100,56,0,0,0,63,58,63,41,69,56,0,0,0,0
2024-10-07,0,0,0,49,0,0,0,0,76,65,0,0,0,0,0,0,0,0,77,0,50,0,0,57,63,47,86,38,80,70,0,0,0,0
2024-10-08,0,51,0,88,0,0,0,0,77,0,0,0,0,0,0,0,0,0,88,0,38,0,0,59,40,68,82,64,68,69,0,0,0,0
2024-10-09,0,53,0,82,0,0,0,0,81,91,0,0,60,0,0,0,100,0,79,0,47,0,0,0,65,45,68,49,73,43,0,0,0,53
2024-10-10,50,45,0,58,0,0,0,0,75,52,0,0,0,0,0,0,0,0,61,0,30,0,0,51,39,50,73,60,67,47,0,0,0,57
2024-10-11,0,54,0,79,0,0,0,0,77,69,0,0,0,0,0,0,0,0,66,0,0,0,0,0,63,55,67,76,61,0,0,0,0,0
